Date,Open,High,Low,Close,Adj Close,Volume
2016-10-19,152.000000,157.699997,150.850006,154.600006,145.149612,6685790
2016-10-20,155.949997,156.649994,151.949997,152.350006,143.037155,2780284
2016-10-21,152.449997,154.199997,151.149994,152.500000,143.177994,1751366
2016-10-24,152.899994,156.000000,152.000000,154.050003,144.633224,2715234
2016-10-25,149.050003,151.750000,148.399994,150.000000,140.830795,3234883
2016-10-26,148.000000,151.199997,144.050003,145.399994,136.511978,3586046
2016-10-27,139.500000,141.199997,135.649994,137.750000,129.329620,8524741
2016-10-28,138.000000,141.300003,138.000000,139.949997,131.395111,2281364
2016-11-01,139.399994,140.750000,138.300003,138.600006,130.127670,1497745
2016-11-02,138.000000,138.000000,134.500000,134.949997,126.700783,2026448
2016-11-03,134.100006,136.250000,130.800003,131.350006,123.320847,2063211
2016-11-04,131.000000,132.000000,126.000000,126.849998,119.095901,4614456
2016-11-07,127.699997,130.399994,127.250000,128.000000,120.175606,1948286
2016-11-08,130.000000,131.000000,126.550003,127.449997,119.659233,2758553
2016-11-09,118.000000,122.900002,114.949997,121.900002,114.448486,5272740
2016-11-10,124.000000,127.099998,123.650002,125.400002,117.734543,2170482
2016-11-11,123.000000,125.349998,117.250000,118.650002,111.397156,3058329
2016-11-15,119.800003,119.800003,114.250000,117.000000,109.848022,2405650
2016-11-16,123.099998,125.300003,120.400002,121.300003,113.885170,4703414
2016-11-17,121.699997,122.800003,115.199997,118.599998,111.350212,1306586
2016-11-18,118.900002,121.000000,118.300003,120.099998,112.758522,2008909
2016-11-21,120.099998,121.800003,114.900002,115.650002,108.580544,1976322
2016-11-22,117.800003,118.800003,116.050003,117.300003,110.129684,3411500
2016-11-23,118.800003,118.900002,116.849998,117.650002,110.458290,2170944
2016-11-24,117.650002,117.650002,114.500000,115.099998,108.064156,2220419
2016-11-25,116.000000,119.199997,115.599998,118.500000,111.256325,1474301
2016-11-28,118.550003,121.800003,117.500000,120.949997,113.556557,1738935
2016-11-29,122.800003,124.199997,121.500000,121.949997,114.495438,1993986
2016-11-30,122.949997,124.400002,122.500000,123.849998,116.279289,1616908
2016-12-01,124.650002,124.650002,121.550003,121.900002,114.448486,1205710
2016-12-02,121.500000,123.400002,120.300003,121.550003,114.119881,1343432
2016-12-05,121.449997,124.849998,121.099998,123.650002,116.091515,1401882
2016-12-06,123.800003,125.250000,122.800003,123.400002,115.856804,1486818
2016-12-07,124.349998,124.500000,120.750000,122.300003,114.824043,1217621
2016-12-08,123.000000,125.099998,123.000000,123.849998,116.279289,1090370
2016-12-09,124.349998,124.599998,123.500000,123.900002,116.326233,920060
2016-12-12,123.900002,125.000000,122.099998,123.349998,115.809845,760874
2016-12-13,124.050003,125.000000,123.050003,123.349998,115.809845,502421
2016-12-14,123.849998,124.800003,122.400002,122.750000,115.246536,826188
2016-12-15,122.500000,126.849998,122.199997,124.449997,116.842621,2212399
2016-12-16,125.000000,125.000000,122.949997,124.300003,116.701782,804735
2016-12-19,124.800003,126.099998,124.000000,124.300003,116.701782,923038
2016-12-20,124.800003,125.000000,120.750000,121.250000,113.838226,646197
2016-12-21,120.750000,122.949997,120.750000,121.599998,114.166824,677057
2016-12-22,122.400002,122.400002,119.000000,119.400002,112.101318,839802
2016-12-23,119.500000,119.800003,118.000000,118.849998,111.584938,749376
2016-12-26,118.800003,118.849998,116.300003,117.000000,109.848022,425216
2016-12-27,117.000000,121.050003,116.449997,120.550003,113.181023,728501
2016-12-28,119.199997,122.000000,119.199997,119.599998,112.289085,866902
2016-12-29,119.599998,122.150002,119.599998,121.099998,113.697388,1025503
2016-12-30,121.099998,123.300003,121.099998,122.000000,114.542374,1017447
2017-01-02,122.800003,124.199997,121.349998,123.550003,115.997635,1102178
2017-01-03,122.800003,125.400002,122.800003,124.449997,116.842621,580430
2017-01-04,125.000000,126.050003,123.800003,124.449997,116.842621,656213
2017-01-05,124.750000,125.650002,124.550003,125.199997,117.546761,503565
2017-01-06,125.400002,126.949997,124.050003,124.650002,117.030396,1255021
2017-01-09,124.750000,125.500000,123.949997,124.750000,117.124268,414927
2017-01-10,125.500000,125.500000,123.800003,124.449997,116.842621,533212
2017-01-11,125.000000,127.900002,124.550003,127.550003,119.753120,839283
2017-01-12,128.300003,128.399994,124.050003,125.150002,117.499832,1403598
2017-01-13,126.900002,130.899994,126.650002,128.350006,120.504227,3617760
2017-01-16,128.199997,128.399994,127.000000,127.650002,119.847000,538746
2017-01-17,128.600006,129.399994,126.550003,127.599998,119.800056,851814
2017-01-18,128.000000,130.449997,127.699997,128.649994,120.785866,1059940
2017-01-19,129.800003,131.550003,129.149994,130.500000,122.522797,1308883
2017-01-20,130.250000,131.350006,126.000000,126.400002,118.673416,961631
2017-01-23,127.599998,128.399994,126.599998,127.900002,120.081726,746313
2017-01-24,128.800003,128.949997,126.849998,128.449997,120.598106,996229
2017-01-25,129.250000,129.250000,127.449997,128.350006,120.504227,909771
2017-01-27,128.350006,129.949997,128.350006,129.199997,121.302261,759876
2017-01-30,129.100006,131.800003,128.100006,130.449997,122.475853,1256759
2017-01-31,130.500000,132.000000,128.500000,128.850006,120.973663,1614154
